,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1706260890000,0.0
1706260895000,0.0
1706260900000,0.0
1706260905000,140.0
1706260910000,98.0
1706260915000,250.0
1706260920000,359.0
1706260925000,457.0
1706260930000,506.0
1706260935000,632.0
1706260940000,651.0
1706260945000,686.0
1706260950000,839.0
1706260955000,876.0
1706260960000,948.0
1706260965000,1000.0
1706260970000,1000.0
1706260975000,1000.0
1706260980000,1000.0
1706260985000,1000.0
1706260990000,1000.0
1706260995000,1000.0
1706261000000,1000.0
1706261005000,1000.0
1706261010000,1000.0
1706261015000,1000.0
1706261020000,1000.0
1706261025000,1000.0
1706261030000,1000.0
1706261035000,1000.0
1706261040000,1000.0
1706261045000,1000.0
1706261050000,1000.0
1706261055000,1000.0
1706261060000,1000.0
1706261065000,1000.0
1706261070000,1000.0
1706261075000,1000.0
1706261080000,1000.0
1706261085000,1000.0
1706261090000,1000.0
1706261095000,1000.0
1706261100000,1000.0
1706261105000,1000.0
1706261110000,1000.0
1706261115000,1000.0
1706261120000,1000.0
1706261125000,1000.0
1706261130000,1000.0
1706261135000,1000.0
1706261140000,1000.0
1706261145000,1000.0
1706261150000,1000.0
1706261155000,
1706261195000,0.0
1706261200000,0.0
1706261205000,109.0
1706261210000,444.0
1706261215000,423.0
1706261220000,390.0
1706261225000,422.0
1706261230000,455.0
1706261235000,498.0
1706261240000,550.0
1706261245000,608.0
1706261250000,670.0
1706261255000,682.0
1706261260000,763.0
1706261265000,834.0
1706261270000,823.0
1706261275000,867.0
1706261280000,920.0
1706261285000,961.0
1706261290000,982.0
1706261295000,992.0
1706261300000,1000.0
1706261305000,988.0
1706261310000,954.0
1706261315000,975.0
1706261320000,998.0
1706261325000,985.0
1706261330000,980.0
1706261335000,1000.0
1706261340000,997.0
1706261345000,985.0
1706261350000,1000.0
1706261355000,1000.0
1706261360000,985.0
1706261365000,1000.0
1706261370000,1000.0
1706261375000,1000.0
1706261380000,1000.0
1706261385000,1000.0
1706261390000,1000.0
1706261395000,1000.0
1706261400000,1000.0
1706261405000,1000.0
1706261410000,1000.0
1706261415000,1000.0
1706261420000,1000.0
1706261425000,1000.0
1706261430000,1000.0
1706261435000,1000.0
1706261440000,1000.0
1706261445000,1000.0
1706261450000,1000.0
1706261455000,983.0
1706261460000,979.0
1706261465000,973.0
1706261470000,969.0
1706261475000,
1706261525000,0.0
1706261530000,0.0
1706261535000,0.0
1706261540000,0.0
1706261545000,152.0
1706261550000,423.0
1706261555000,507.0
1706261560000,568.0
1706261565000,621.0
1706261570000,649.0
1706261575000,667.0
1706261580000,693.0
1706261585000,712.0
1706261590000,731.0
1706261595000,805.0
1706261600000,886.0
1706261605000,919.0
1706261610000,886.0
1706261615000,898.0
1706261620000,906.0
1706261625000,911.0
1706261630000,913.0
1706261635000,927.0
1706261640000,924.0
1706261645000,934.0
1706261650000,930.0
1706261655000,935.0
1706261660000,935.0
1706261665000,947.0
1706261670000,949.0
1706261675000,930.0
1706261680000,915.0
1706261685000,906.0
1706261690000,902.0
1706261695000,891.0
1706261700000,896.0
1706261705000,896.0
1706261710000,894.0
1706261715000,882.0
1706261720000,876.0
1706261725000,873.0
1706261730000,870.0
1706261735000,881.0
1706261740000,892.0
1706261745000,890.0
1706261750000,890.0
1706261755000,892.0
1706261760000,886.0
1706261765000,887.0
1706261770000,884.0
1706261775000,887.0
1706261780000,893.0
1706261785000,884.0
1706261790000,890.0
1706261795000,886.0
1706261800000,
1706261845000,0.0
1706261850000,0.0
1706261855000,0.0
1706261860000,239.0
1706261865000,369.0
1706261870000,455.0
1706261875000,526.0
1706261880000,579.0
1706261885000,610.0
1706261890000,633.0
1706261895000,649.0
1706261900000,670.0
1706261905000,693.0
1706261910000,758.0
1706261915000,840.0
1706261920000,845.0
1706261925000,844.0
1706261930000,842.0
1706261935000,840.0
1706261940000,834.0
1706261945000,823.0
1706261950000,831.0
1706261955000,847.0
1706261960000,840.0
1706261965000,835.0
1706261970000,837.0
1706261975000,835.0
1706261980000,854.0
1706261985000,866.0
1706261990000,866.0
1706261995000,863.0
1706262000000,864.0
1706262005000,874.0
1706262010000,871.0
1706262015000,852.0
1706262020000,860.0
1706262025000,846.0
1706262030000,848.0
1706262035000,844.0
1706262040000,829.0
1706262045000,815.0
1706262050000,814.0
1706262055000,813.0
1706262060000,808.0
1706262065000,811.0
1706262070000,816.0
1706262075000,826.0
1706262080000,825.0
1706262085000,835.0
1706262090000,838.0
1706262095000,826.0
1706262100000,828.0
1706262105000,838.0
1706262110000,838.0
1706262115000,843.0
1706262120000,830.0
1706262125000,
1706262170000,0.0
1706262175000,0.0
1706262180000,100.0
1706262185000,196.0
1706262190000,197.0
1706262195000,289.0
1706262200000,378.0
1706262205000,406.0
1706262210000,444.0
1706262215000,477.0
1706262220000,515.0
1706262225000,527.0
1706262230000,545.0
1706262235000,609.0
1706262240000,659.0
1706262245000,691.0
1706262250000,736.0
1706262255000,747.0
1706262260000,740.0
1706262265000,755.0
1706262270000,757.0
1706262275000,758.0
1706262280000,742.0
1706262285000,748.0
1706262290000,748.0
1706262295000,745.0
1706262300000,737.0
1706262305000,738.0
1706262310000,740.0
1706262315000,729.0
1706262320000,729.0
1706262325000,730.0
1706262330000,730.0
1706262335000,732.0
1706262340000,741.0
1706262345000,742.0
1706262350000,746.0
1706262355000,755.0
1706262360000,761.0
1706262365000,747.0
1706262370000,741.0
1706262375000,743.0
1706262380000,743.0
1706262385000,735.0
1706262390000,741.0
1706262395000,741.0
1706262400000,736.0
1706262405000,725.0
1706262410000,720.0
1706262415000,725.0
1706262420000,719.0
1706262425000,729.0
1706262430000,732.0
1706262435000,743.0
1706262440000,740.0
1706262445000,
1706262490000,0.0
1706262495000,0.0
1706262500000,0.0
1706262505000,142.0
1706262510000,199.0
1706262515000,278.0
1706262520000,326.0
1706262525000,337.0
1706262530000,370.0
1706262535000,396.0
1706262540000,428.0
1706262545000,436.0
1706262550000,444.0
1706262555000,489.0
1706262560000,536.0
1706262565000,549.0
1706262570000,566.0
1706262575000,577.0
1706262580000,591.0
1706262585000,603.0
1706262590000,616.0
1706262595000,628.0
1706262600000,617.0
1706262605000,632.0
1706262610000,640.0
1706262615000,649.0
1706262620000,660.0
1706262625000,665.0
1706262630000,667.0
1706262635000,658.0
1706262640000,650.0
1706262645000,638.0
1706262650000,623.0
1706262655000,606.0
1706262660000,604.0
1706262665000,595.0
1706262670000,595.0
1706262675000,582.0
1706262680000,578.0
1706262685000,569.0
1706262690000,563.0
1706262695000,558.0
1706262700000,555.0
1706262705000,563.0
1706262710000,560.0
1706262715000,568.0
1706262720000,584.0
1706262725000,575.0
1706262730000,576.0
1706262735000,591.0
1706262740000,598.0
1706262745000,610.0
1706262750000,625.0
1706262755000,640.0
1706262760000,635.0
1706262765000,
1706262810000,0.0
1706262815000,0.0
1706262820000,0.0
1706262825000,0.0
1706262830000,0.0
1706262835000,75.0
1706262840000,220.0
1706262845000,308.0
1706262850000,343.0
1706262855000,370.0
1706262860000,398.0
1706262865000,414.0
1706262870000,427.0
1706262875000,430.0
1706262880000,486.0
1706262885000,539.0
1706262890000,596.0
1706262895000,616.0
1706262900000,599.0
1706262905000,580.0
1706262910000,578.0
1706262915000,572.0
1706262920000,561.0
1706262925000,556.0
1706262930000,555.0
1706262935000,568.0
1706262940000,549.0
1706262945000,545.0
1706262950000,531.0
1706262955000,530.0
1706262960000,540.0
1706262965000,534.0
1706262970000,533.0
1706262975000,555.0
1706262980000,562.0
1706262985000,565.0
1706262990000,565.0
1706262995000,570.0
1706263000000,581.0
1706263005000,587.0
1706263010000,586.0
1706263015000,597.0
1706263020000,588.0
1706263025000,586.0
1706263030000,586.0
1706263035000,569.0
1706263040000,574.0
1706263045000,588.0
1706263050000,585.0
1706263055000,574.0
1706263060000,576.0
1706263065000,573.0
1706263070000,563.0
1706263075000,558.0
1706263080000,556.0
1706263085000,561.0
1706263090000,
1706263095000,0.0
1706263100000,
1706263145000,0.0
1706263150000,0.0
1706263155000,112.0
1706263160000,315.0
1706263165000,307.0
1706263170000,324.0
1706263175000,336.0
1706263180000,350.0
1706263185000,374.0
1706263190000,379.0
1706263195000,395.0
1706263200000,420.0
1706263205000,438.0
1706263210000,470.0
1706263215000,498.0
1706263220000,498.0
1706263225000,520.0
1706263230000,537.0
1706263235000,551.0
1706263240000,577.0
1706263245000,577.0
1706263250000,590.0
1706263255000,594.0
1706263260000,591.0
1706263265000,591.0
1706263270000,605.0
1706263275000,602.0
1706263280000,590.0
1706263285000,593.0
1706263290000,592.0
1706263295000,600.0
1706263300000,586.0
1706263305000,589.0
1706263310000,594.0
1706263315000,597.0
1706263320000,601.0
1706263325000,598.0
1706263330000,603.0
1706263335000,607.0
1706263340000,610.0
1706263345000,612.0
1706263350000,606.0
1706263355000,594.0
1706263360000,589.0
1706263365000,590.0
1706263370000,581.0
1706263375000,587.0
1706263380000,576.0
1706263385000,569.0
1706263390000,569.0
1706263395000,571.0
1706263400000,562.0
1706263405000,563.0
1706263410000,577.0
1706263415000,587.0
1706263420000,
1706263465000,0.0
1706263470000,0.0
1706263475000,0.0
1706263480000,0.0
1706263485000,18.0
1706263490000,13.0
1706263495000,139.0
1706263500000,218.0
1706263505000,283.0
1706263510000,292.0
1706263515000,299.0
1706263520000,316.0
1706263525000,339.0
1706263530000,347.0
1706263535000,388.0
1706263540000,430.0
1706263545000,458.0
1706263550000,512.0
1706263555000,499.0
1706263560000,477.0
1706263565000,451.0
1706263570000,460.0
1706263575000,469.0
1706263580000,475.0
1706263585000,470.0
1706263590000,470.0
1706263595000,463.0
1706263600000,447.0
1706263605000,456.0
1706263610000,433.0
1706263615000,434.0
1706263620000,452.0
1706263625000,446.0
1706263630000,438.0
1706263635000,438.0
1706263640000,427.0
1706263645000,419.0
1706263650000,422.0
1706263655000,429.0
1706263660000,426.0
1706263665000,425.0
1706263670000,438.0
1706263675000,435.0
1706263680000,428.0
1706263685000,441.0
1706263690000,443.0
1706263695000,444.0
1706263700000,453.0
1706263705000,448.0
1706263710000,455.0
1706263715000,456.0
1706263720000,471.0
1706263725000,456.0
1706263730000,453.0
1706263735000,461.0
