,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1706532015000,0.0,,,,,,
1706532020000,0.0,,,,,,
1706532025000,25.2,,,,,,
1706532030000,681.0,,,,,,
1706532035000,1226.1666666666,,,,,,
1706532040000,2841.5,,,,,,
1706532045000,4461.7,,,,,,
1706532050000,5896.58333333,,,,,,
1706532055000,7813.733333329999,,,,,,
1706532060000,8070.71666666,,,,,,
1706532065000,10056.51666666,,,,,,
1706532070000,10746.55,,,,,,
1706532075000,12221.016666659998,,,,,,
1706532080000,13436.7,,,,,,
1706532085000,14247.633333329999,,,,,,
1706532090000,15480.7,,,,,,
1706532095000,15450.0,,,,,,
1706532100000,15094.1,,,,,,
1706532105000,15279.58333333,,,,,,
1706532110000,14303.766666659998,,,,,,
1706532115000,13624.366666659998,,,,,,
1706532120000,14871.65,,,,,,
1706532125000,13908.0,,,,,,
1706532130000,13896.98333333,,,,,,
1706532135000,14093.783333329999,,,,,,
1706532140000,14406.3,,,,,,
1706532145000,14055.35,,,,,,
1706532150000,13553.8,,,,,,
1706532155000,14545.7,,,,,,
1706532160000,15004.283333329999,,,,,,
1706532165000,14383.966666659999,,,,,,
1706532170000,14353.4,,,,,,
1706532175000,14783.8,,,,,,
1706532180000,15225.783333329999,,,,,,
1706532185000,15306.9,,,,,,
1706532190000,15486.0,,,,,,
1706532195000,15233.283333329999,,,,,,
1706532200000,15056.866666659998,,,,,,
1706532205000,,,,,,,
1706532250000,0.0,0.0,,,,,
1706532255000,0.0,0.0,,,,,
1706532260000,0.0,730.8166666666,,,,,
1706532265000,542.15,758.65,,,,,
1706532270000,757.0,1541.7,,,,,
1706532275000,1542.0,2318.2166666666,,,,,
1706532280000,2191.8833333333,3158.7,,,,,
1706532285000,3146.6166666665995,4127.53333333,,,,,
1706532290000,3926.51666667,5189.31666667,,,,,
1706532295000,4947.86666667,6689.56666666,,,,,
1706532300000,6567.46666667,8180.01666666,,,,,
1706532305000,7980.33333333,8946.43333333,,,,,
1706532310000,8918.96666666,10254.4,,,,,
1706532315000,9996.96666666,11608.533333329999,,,,,
1706532320000,11553.3,11794.366666659998,,,,,
1706532325000,11687.516666659998,12875.8,,,,,
1706532330000,12660.56666666,13364.783333329999,,,,,
1706532335000,13128.266666659998,13375.7,,,,,
1706532340000,13413.45,13417.35,,,,,
1706532345000,13351.283333329999,13819.633333329999,,,,,
1706532350000,13736.18333333,13964.966666659999,,,,,
1706532355000,14125.06666666,13341.08333333,,,,,
1706532360000,13364.91666666,13209.06666666,,,,,
1706532365000,13086.15,13500.783333329999,,,,,
1706532370000,13423.266666659998,13127.6,,,,,
1706532375000,13270.7,13382.7,,,,,
1706532380000,13181.133333329999,13432.58333333,,,,,
1706532385000,13562.73333333,13625.68333333,,,,,
1706532390000,13490.283333329999,13546.266666659998,,,,,
1706532395000,13642.56666666,13607.66666666,,,,,
1706532400000,13552.93333333,13964.9,,,,,
1706532405000,13767.283333329999,13885.91666666,,,,,
1706532410000,14023.6,13836.283333329999,,,,,
1706532415000,13549.33333333,14336.6,,,,,
1706532420000,14223.05,13745.016666659998,,,,,
1706532425000,13880.15,14046.15,,,,,
1706532430000,13729.31666666,14391.9,,,,,
1706532435000,14315.216666659999,13536.516666659998,,,,,
1706532440000,13601.95,13758.15,,,,,
1706532445000,13727.266666659998,13944.93333333,,,,,
1706532450000,14094.3,13511.283333329999,,,,,
1706532455000,13447.116666659998,14200.633333329999,,,,,
1706532460000,13884.883333329999,14024.116666659998,,,,,
1706532465000,14054.216666659999,,,,,,
1706532470000,,,,,,,
1706532510000,,,0.0,,,,
1706532515000,0.0,0.0,0.0,,,,
1706532520000,0.416666666667,0.0,0.0,,,,
1706532525000,88.3833333333,223.8833333333,177.4833333333,,,,
1706532530000,613.5166666666,634.6,603.5666666666,,,,
1706532535000,1303.15,1332.45,1256.7833333333,,,,
1706532540000,2103.1833333332997,2155.0833333333,2027.9833333333,,,,
1706532545000,2929.0,2997.9,2851.1166666666,,,,
1706532550000,4146.8,4228.81666667,4028.76666667,,,,
1706532555000,5210.55,5317.28333333,5055.93333333,,,,
1706532560000,6260.516666670001,6513.133333329999,6083.733333329999,,,,
1706532565000,6920.33333333,7326.95,6964.75,,,,
1706532570000,8042.133333329999,8223.93333333,7820.05,,,,
1706532575000,9201.0,9396.75,8935.7,,,,
1706532580000,10416.21666666,10637.93333333,10117.3,,,,
1706532585000,11257.81666666,11530.83333333,10873.86666666,,,,
1706532590000,11983.33333333,12252.33333333,11513.76666666,,,,
1706532595000,12132.3,12538.98333333,11811.2,,,,
1706532600000,12226.15,12486.08333333,11894.18333333,,,,
1706532605000,12495.41666666,12768.8,12143.266666659998,,,,
1706532610000,12476.48333333,12760.45,12128.73333333,,,,
1706532615000,12502.8,12786.75,12170.31666666,,,,
1706532620000,12550.95,12724.43333333,12214.616666659998,,,,
1706532625000,12950.06666666,13025.41666666,12221.9,,,,
1706532630000,12962.06666666,13258.616666659998,12473.383333329999,,,,
1706532635000,12735.58333333,13089.466666659999,12396.133333329999,,,,
1706532640000,12515.66666666,13011.266666659998,12270.133333329999,,,,
1706532645000,12502.06666666,12880.18333333,12374.73333333,,,,
1706532650000,12427.033333329999,12773.73333333,12221.533333329999,,,,
1706532655000,12791.73333333,13199.1,12457.533333329999,,,,
1706532660000,12927.616666659998,13238.366666659998,12598.93333333,,,,
1706532665000,12963.06666666,13252.133333329999,12596.65,,,,
1706532670000,12898.75,13209.133333329999,12561.33333333,,,,
1706532675000,12954.0,13296.18333333,12592.266666659998,,,,
1706532680000,12979.616666659998,13256.58333333,12610.716666659999,,,,
1706532685000,13024.9,13310.366666659998,12837.16666666,,,,
1706532690000,13080.866666659998,13422.6,12900.9,,,,
1706532695000,13210.33333333,13492.4,12882.83333333,,,,
1706532700000,13370.18333333,13461.85,12904.633333329999,,,,
1706532705000,13575.6,13658.75,12988.65,,,,
1706532710000,13433.366666659998,13667.633333329999,12974.6,,,,
1706532715000,13173.48333333,13469.45,12791.55,,,,
1706532720000,13486.633333329999,13828.466666659999,13144.633333329999,,,,
1706532725000,13469.43333333,13841.7,12937.016666659998,,,,
1706532730000,,,,,,,
1706532775000,,0.0,0.0,0.0,,,
1706532780000,0.0,0.0,0.0,0.0,,,
1706532785000,0.0,0.0,130.8333333333,0.0,,,
1706532790000,2.283333333333,128.9333333333,615.9166666666,76.6166666666,,,
1706532795000,531.4166666666,613.7666666666,1075.05,571.4666666666,,,
1706532800000,849.5333333333,1068.1833333333,1666.7666666666,1025.1,,,
1706532805000,1447.85,1658.05,2294.2166666666,1457.2333333333,,,
1706532810000,2118.0666666666,2281.2333333333,3379.33333333,2256.0333333332997,,,
1706532815000,3082.55,3359.66666667,4254.81666667,3089.2666666665996,,,
1706532820000,3860.46666667,4234.16666667,5282.41666667,4056.51666667,,,
1706532825000,5049.98333333,5264.81666667,6283.21666667,5182.78333333,,,
1706532830000,5903.483333329999,6249.433333329999,7401.883333329999,5928.866666670001,,,
1706532835000,6773.1,7368.51666666,8384.55,7065.6,,,
1706532840000,7974.65,8339.65,9420.45,8016.51666666,,,
1706532845000,8909.41666666,9370.45,10240.5,8952.43333333,,,
1706532850000,9898.41666666,10188.21666666,10786.26666666,10116.51666666,,,
1706532855000,10377.05,10728.56666666,11404.16666666,10633.18333333,,,
1706532860000,11213.21666666,11350.66666666,12013.2,11244.21666666,,,
