Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 6)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,1
5,0.0,,,,,,,1000.0,,,,,,,0.0,0.0,-1.0,-1.0,1
10,25.2,,,,,,,501.0,,,,,,,0.0,0.0,70841.0,1950.0,1
15,681.0,,,,,,,751.0,,,,,,,407.0,159.0,2094660.0,649.0,1
20,1226.1666666666,,,,,,,712.0,,,,,,,481.0,195.0,2303791.0,1451.0,1
25,2841.5,,,,,,,784.0,,,,,,,617.0,410.0,2400536.0,948.0,1
30,4461.7,,,,,,,827.0,,,,,,,679.0,522.0,5244306.0,2250.0,1
35,5896.58333333,,,,,,,856.0,,,,,,,728.0,592.0,8120847.0,5223.0,1
40,7813.733333329999,,,,,,,877.0,,,,,,,865.0,741.0,10694835.0,2185.0,1
45,8070.71666666,,,,,,,892.0,,,,,,,894.0,786.0,6900213.0,1407.0,1
50,10056.51666666,,,,,,,904.0,,,,,,,898.0,803.0,6900213.0,1407.0,1
55,10746.55,,,,,,,914.0,,,,,,,943.0,857.0,4618013.0,1140.0,1
60,12221.016666659998,,,,,,,922.0,,,,,,,939.0,868.0,4618013.0,1140.0,1
65,13436.7,,,,,,,928.0,,,,,,,972.0,906.0,8684995.0,1339.0,1
70,14247.633333329999,,,,,,,970.0,,,,,,,1000.0,986.0,11445255.0,5147.0,1
75,15480.7,,,,,,,970.0,,,,,,,1000.0,1000.0,3944365.0,1344.0,1
80,15450.0,,,,,,,1000.0,,,,,,,1000.0,1000.0,8695050.0,1344.0,1
85,15094.1,,,,,,,1000.0,,,,,,,1000.0,1000.0,3866516.0,1053.0,1
90,15279.58333333,,,,,,,1000.0,,,,,,,1000.0,1000.0,3866516.0,1053.0,1
95,14303.766666659998,,,,,,,1000.0,,,,,,,1000.0,1000.0,9430442.0,1317.0,1
100,13624.366666659998,,,,,,,1000.0,,,,,,,1000.0,1000.0,11379032.0,3150.0,1
105,14871.65,,,,,,,1000.0,,,,,,,1000.0,1000.0,11379032.0,3150.0,1
110,13908.0,,,,,,,1000.0,,,,,,,1000.0,1000.0,6165816.0,1151.0,1
115,13896.98333333,,,,,,,1000.0,,,,,,,1000.0,1000.0,10585777.0,1707.0,1
120,14093.783333329999,,,,,,,1000.0,,,,,,,1000.0,1000.0,4783473.0,3467.0,1
125,14406.3,,,,,,,1000.0,,,,,,,1000.0,1000.0,6967514.0,1261.0,1
130,14055.35,,,,,,,1000.0,,,,,,,1000.0,1000.0,9025730.0,2357.0,1
135,13553.8,,,,,,,1000.0,,,,,,,1000.0,1000.0,3428021.0,1014.0,1
140,14545.7,,,,,,,1000.0,,,,,,,1000.0,1000.0,5483519.0,2847.0,1
145,15004.283333329999,,,,,,,1000.0,,,,,,,1000.0,1000.0,8060894.0,5049.0,1
150,14383.966666659999,,,,,,,1000.0,,,,,,,1000.0,1000.0,10137506.0,2004.0,1
155,14353.4,,,,,,,1000.0,,,,,,,1000.0,1000.0,6351847.0,1233.0,1
160,14783.8,,,,,,,1000.0,,,,,,,1000.0,1000.0,8762553.0,2442.0,1
165,15225.783333329999,,,,,,,1000.0,,,,,,,1000.0,1000.0,8762553.0,2442.0,1
170,15306.9,,,,,,,1000.0,,,,,,,1000.0,1000.0,3310244.0,841.0,1
175,15486.0,,,,,,,1000.0,,,,,,,1000.0,1000.0,5411447.0,2971.0,1
180,15233.283333329999,,,,,,,1000.0,,,,,,,1000.0,1000.0,9712807.0,1465.0,1
185,15056.866666659998,,,,,,,1000.0,,,,,,,1000.0,1000.0,4582165.0,3083.0,1
190,,,,,,,,,,,,,,,,,,,0
235,0.0,0.0,,,,,,,1000.0,,,,,,0.0,0.0,-1.0,-1.0,2
240,0.0,0.0,,,,,,1000.0,495.0,,,,,,0.0,0.0,-1.0,-1.0,2
245,0.0,730.8166666666,,,,,,735.0,327.0,,,,,,0.0,0.0,-1.0,-1.0,2
250,542.15,758.65,,,,,,829.0,517.0,,,,,,18.0,0.0,3555270.0,3295.0,2
255,757.0,1541.7,,,,,,886.0,520.0,,,,,,305.0,270.0,3555270.0,3295.0,2
260,1542.0,2318.2166666666,,,,,,915.0,539.0,,,,,,617.0,593.0,8218539.0,4281.0,2
265,2191.8833333333,3158.7,,,,,,932.0,553.0,,,,,,659.0,630.0,7919780.0,1760.0,2
270,3146.6166666665995,4127.53333333,,,,,,943.0,605.0,,,,,,692.0,671.0,6856793.0,3343.0,2
275,3926.51666667,5189.31666667,,,,,,951.0,620.0,,,,,,738.0,714.0,9125902.0,3708.0,2
280,4947.86666667,6689.56666666,,,,,,958.0,616.0,,,,,,808.0,782.0,6096652.0,1593.0,2
285,6567.46666667,8180.01666666,,,,,,962.0,627.0,,,,,,818.0,794.0,9030383.0,1587.0,2
290,7980.33333333,8946.43333333,,,,,,966.0,656.0,,,,,,828.0,805.0,13139780.0,1693.0,2
295,8918.96666666,10254.4,,,,,,969.0,667.0,,,,,,840.0,814.0,7399406.0,1008.0,2
300,9996.96666666,11608.533333329999,,,,,,972.0,691.0,,,,,,863.0,834.0,13179134.0,1189.0,2
305,11553.3,11794.366666659998,,,,,,994.0,751.0,,,,,,938.0,904.0,18495009.0,3487.0,2
310,11687.516666659998,12875.8,,,,,,1000.0,731.0,,,,,,1000.0,995.0,21700560.0,3395.0,2
315,12660.56666666,13364.783333329999,,,,,,1000.0,739.0,,,,,,1000.0,1000.0,6650011.0,3188.0,2
320,13128.266666659998,13375.7,,,,,,1000.0,756.0,,,,,,975.0,954.0,13831252.0,3290.0,2
325,13413.45,13417.35,,,,,,1000.0,766.0,,,,,,985.0,964.0,17249834.0,3189.0,2
330,13351.283333329999,13819.633333329999,,,,,,1000.0,744.0,,,,,,1000.0,987.0,6559652.0,3107.0,2
335,13736.18333333,13964.966666659999,,,,,,1000.0,741.0,,,,,,1000.0,1000.0,10073257.0,2887.0,2
340,14125.06666666,13341.08333333,,,,,,1000.0,771.0,,,,,,995.0,984.0,17934694.0,3470.0,2
345,13364.91666666,13209.06666666,,,,,,1000.0,762.0,,,,,,1000.0,994.0,6984922.0,2088.0,2
350,13086.15,13500.783333329999,,,,,,1000.0,743.0,,,,,,1000.0,1000.0,14359095.0,1668.0,2
355,13423.266666659998,13127.6,,,,,,1000.0,740.0,,,,,,1000.0,1000.0,17835338.0,1787.0,2
360,13270.7,13382.7,,,,,,1000.0,743.0,,,,,,1000.0,1000.0,7043709.0,1091.0,2
365,13181.133333329999,13432.58333333,,,,,,1000.0,741.0,,,,,,1000.0,1000.0,12410640.0,1184.0,2
370,13562.73333333,13625.68333333,,,,,,1000.0,753.0,,,,,,1000.0,1000.0,18022138.0,3446.0,2
375,13490.283333329999,13546.266666659998,,,,,,1000.0,758.0,,,,,,1000.0,1000.0,7002647.0,2589.0,2
380,13642.56666666,13607.66666666,,,,,,1000.0,763.0,,,,,,1000.0,1000.0,10927237.0,2290.0,2
385,13552.93333333,13964.9,,,,,,1000.0,762.0,,,,,,1000.0,1000.0,14738470.0,2587.0,2
390,13767.283333329999,13885.91666666,,,,,,1000.0,770.0,,,,,,1000.0,1000.0,6977090.0,1369.0,2
395,14023.6,13836.283333329999,,,,,,1000.0,784.0,,,,,,1000.0,1000.0,11582277.0,1287.0,2
400,13549.33333333,14336.6,,,,,,1000.0,768.0,,,,,,1000.0,1000.0,17075953.0,1291.0,2
405,14223.05,13745.016666659998,,,,,,1000.0,787.0,,,,,,1000.0,1000.0,22146023.0,1690.0,2
410,13880.15,14046.15,,,,,,1000.0,794.0,,,,,,1000.0,1000.0,9106282.0,948.0,2
415,13729.31666666,14391.9,,,,,,1000.0,789.0,,,,,,1000.0,1000.0,14627097.0,3345.0,2
420,14315.216666659999,13536.516666659998,,,,,,1000.0,794.0,,,,,,1000.0,1000.0,22306050.0,3391.0,2
425,13601.95,13758.15,,,,,,1000.0,776.0,,,,,,1000.0,1000.0,7197348.0,2389.0,2
430,13727.266666659998,13944.93333333,,,,,,1000.0,769.0,,,,,,1000.0,1000.0,11298707.0,2589.0,2
435,14094.3,13511.283333329999,,,,,,1000.0,781.0,,,,,,990.0,994.0,19008043.0,2288.0,2
440,13447.116666659998,14200.633333329999,,,,,,1000.0,771.0,,,,,,987.0,1000.0,7638338.0,1387.0,2
445,13884.883333329999,14024.116666659998,,,,,,1000.0,777.0,,,,,,998.0,1000.0,12179558.0,1252.0,2
450,14054.216666659999,,,,,,,1000.0,,,,,,,973.0,991.0,17521377.0,3587.0,1
455,,,,,,,,,,,,,,,,,,,0
495,,,0.0,,,,,,,,,,,,,,,,1
500,0.0,0.0,0.0,,,,,1000.0,1000.0,1000.0,,,,,0.0,0.0,,-1.0,3
505,0.416666666667,0.0,0.0,,,,,720.0,506.0,519.0,,,,,0.0,0.0,-1.0,-1.0,3
510,88.3833333333,223.8833333333,177.4833333333,,,,,860.0,605.0,632.0,,,,,225.0,222.0,-1.0,-1.0,3
515,613.5166666666,634.6,603.5666666666,,,,,907.0,497.0,486.0,,,,,170.0,222.0,5683241.0,2023.0,3
520,1303.15,1332.45,1256.7833333333,,,,,930.0,518.0,513.0,,,,,330.0,356.0,8197847.0,3431.0,3
525,2103.1833333332997,2155.0833333333,2027.9833333333,,,,,944.0,528.0,512.0,,,,,473.0,498.0,7935104.0,4015.0,3
530,2929.0,2997.9,2851.1166666666,,,,,954.0,568.0,538.0,,,,,524.0,545.0,10273703.0,2900.0,3
