,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1703152910000,1000.0,,,,,
1703152915000,406.0,,,,,
1703152920000,202.0,,,,,
1703152925000,188.0,,,,,
1703152930000,308.0,,,,,
1703152935000,363.0,,,,,
1703152940000,463.0,,,,,
1703152945000,540.0,,,,,
1703152950000,598.0,,,,,
1703152955000,642.0,,,,,
1703152960000,678.0,,,,,
1703152965000,708.0,,,,,
1703152970000,732.0,,,,,
1703152975000,781.0,,,,,
1703152980000,865.0,,,,,
1703152985000,935.0,,,,,
1703152990000,963.0,,,,,
1703152995000,998.0,,,,,
1703153000000,1000.0,,,,,
1703153005000,1000.0,,,,,
1703153010000,1000.0,,,,,
1703153015000,1000.0,,,,,
1703153020000,1000.0,,,,,
1703153025000,1000.0,,,,,
1703153030000,1000.0,,,,,
1703153035000,1000.0,,,,,
1703153040000,1000.0,,,,,
1703153045000,1000.0,,,,,
1703153050000,1000.0,,,,,
1703153055000,1000.0,,,,,
1703153060000,1000.0,,,,,
1703153065000,1000.0,,,,,
1703153070000,1000.0,,,,,
1703153075000,1000.0,,,,,
1703153080000,1000.0,,,,,
1703153085000,1000.0,,,,,
1703153090000,1000.0,,,,,
1703153095000,1000.0,,,,,
1703153100000,1000.0,,,,,
1703153105000,1000.0,,,,,
1703153110000,1000.0,,,,,
1703153115000,1000.0,,,,,
1703153120000,1000.0,,,,,
1703153125000,1000.0,,,,,
1703153130000,1000.0,,,,,
1703153135000,1000.0,,,,,
1703153140000,1000.0,,,,,
1703153145000,1000.0,,,,,
1703153150000,1000.0,,,,,
1703153155000,1000.0,,,,,
1703153160000,1000.0,,,,,
1703153165000,1000.0,,,,,
1703153170000,1000.0,,,,,
1703153175000,1000.0,,,,,
1703153180000,1000.0,,,,,
1703153185000,1000.0,,,,,
1703153190000,1000.0,,,,,
1703153195000,1000.0,,,,,
1703153200000,1000.0,,,,,
1703153205000,1000.0,,,,,
1703153210000,1000.0,,,,,
1703153215000,1000.0,,,,,
1703153220000,1000.0,,,,,
1703153225000,1000.0,,,,,
1703153230000,1000.0,,,,,
1703153235000,1000.0,,,,,
1703153240000,1000.0,,,,,
1703153245000,1000.0,,,,,
1703153250000,1000.0,,,,,
1703153255000,1000.0,,,,,
1703153260000,1000.0,,,,,
1703153265000,1000.0,,,,,
1703153270000,1000.0,,,,,
1703153275000,1000.0,,,,,
1703153280000,1000.0,,,,,
1703153285000,1000.0,,,,,
1703153290000,993.0,,,,,
1703153295000,,,,,,
1703153350000,1000.0,1000.0,,,,
1703153355000,1000.0,1000.0,,,,
1703153360000,1000.0,1000.0,,,,
1703153365000,688.0,1000.0,,,,
1703153370000,551.0,1000.0,,,,
1703153375000,604.0,883.0,,,,
1703153380000,670.0,857.0,,,,
1703153385000,717.0,824.0,,,,
1703153390000,753.0,823.0,,,,
1703153395000,780.0,807.0,,,,
1703153400000,802.0,798.0,,,,
1703153405000,820.0,782.0,,,,
1703153410000,835.0,768.0,,,,
1703153415000,835.0,752.0,,,,
1703153420000,835.0,716.0,,,,
1703153425000,913.0,678.0,,,,
1703153430000,985.0,644.0,,,,
1703153435000,1000.0,652.0,,,,
1703153440000,1000.0,649.0,,,,
1703153445000,1000.0,666.0,,,,
1703153450000,1000.0,648.0,,,,
1703153455000,1000.0,658.0,,,,
1703153460000,1000.0,661.0,,,,
1703153465000,1000.0,663.0,,,,
1703153470000,1000.0,674.0,,,,
1703153475000,1000.0,661.0,,,,
1703153480000,1000.0,669.0,,,,
1703153485000,1000.0,672.0,,,,
1703153490000,1000.0,686.0,,,,
1703153495000,993.0,700.0,,,,
1703153500000,993.0,692.0,,,,
1703153505000,993.0,683.0,,,,
1703153510000,993.0,692.0,,,,
1703153515000,993.0,687.0,,,,
1703153520000,993.0,690.0,,,,
1703153525000,993.0,702.0,,,,
1703153530000,993.0,698.0,,,,
1703153535000,993.0,700.0,,,,
1703153540000,993.0,713.0,,,,
1703153545000,993.0,731.0,,,,
1703153550000,993.0,729.0,,,,
1703153555000,1000.0,729.0,,,,
1703153560000,1000.0,749.0,,,,
1703153565000,996.0,739.0,,,,
1703153570000,996.0,727.0,,,,
1703153575000,996.0,737.0,,,,
1703153580000,996.0,729.0,,,,
1703153585000,996.0,719.0,,,,
1703153590000,996.0,717.0,,,,
1703153595000,996.0,720.0,,,,
1703153600000,996.0,712.0,,,,
