,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1706109695000,0.0
1706109700000,0.0
1706109705000,0.0
1706109710000,0.0
1706109715000,0.0
1706109720000,0.0
1706109725000,0.0
1706109730000,0.0
1706109735000,0.0
1706109740000,0.0
1706109745000,0.0
1706109750000,0.0
1706109755000,0.0
1706109760000,0.0
1706109765000,8.0
1706109770000,8.0
1706109775000,10.0
1706109780000,74.0
1706109785000,155.0
1706109790000,237.0
1706109795000,318.0
1706109800000,455.0
1706109805000,533.0
1706109810000,661.0
1706109815000,744.0
1706109820000,909.0
1706109825000,992.0
1706109830000,1000.0
1706109835000,1000.0
1706109840000,1000.0
1706109845000,1000.0
1706109850000,1000.0
1706109855000,1000.0
1706109860000,1000.0
1706109865000,1000.0
1706109870000,1000.0
1706109875000,1000.0
1706109880000,1000.0
1706109885000,1000.0
1706109890000,1000.0
1706109895000,1000.0
1706109900000,1000.0
1706109905000,1000.0
1706109910000,1000.0
1706109915000,1000.0
1706109920000,1000.0
1706109925000,1000.0
1706109930000,1000.0
1706109935000,1000.0
1706109940000,1000.0
1706109945000,1000.0
1706109950000,1000.0
1706109955000,1000.0
1706109960000,1000.0
1706109965000,1000.0
1706109970000,1000.0
1706109975000,1000.0
1706109980000,1000.0
1706109985000,1000.0
1706109990000,1000.0
1706109995000,1000.0
1706110000000,1000.0
1706110005000,
1706110055000,0.0
1706110060000,0.0
1706110065000,259.0
1706110070000,348.0
1706110075000,435.0
1706110080000,510.0
1706110085000,563.0
1706110090000,626.0
1706110095000,646.0
1706110100000,679.0
1706110105000,724.0
1706110110000,731.0
1706110115000,740.0
1706110120000,827.0
1706110125000,855.0
1706110130000,874.0
1706110135000,901.0
1706110140000,926.0
1706110145000,933.0
1706110150000,938.0
1706110155000,940.0
1706110160000,941.0
1706110165000,915.0
1706110170000,919.0
1706110175000,939.0
1706110180000,913.0
1706110185000,917.0
1706110190000,941.0
1706110195000,958.0
1706110200000,930.0
1706110205000,929.0
1706110210000,930.0
1706110215000,931.0
1706110220000,921.0
1706110225000,937.0
1706110230000,939.0
1706110235000,916.0
1706110240000,942.0
1706110245000,941.0
1706110250000,922.0
1706110255000,889.0
1706110260000,915.0
1706110265000,909.0
1706110270000,875.0
1706110275000,879.0
1706110280000,883.0
1706110285000,890.0
1706110290000,882.0
1706110295000,889.0
1706110300000,890.0
1706110305000,888.0
1706110310000,910.0
1706110315000,903.0
1706110320000,884.0
1706110325000,909.0
1706110330000,
1706110380000,0.0
1706110385000,0.0
1706110390000,0.0
1706110395000,246.0
1706110400000,429.0
1706110405000,532.0
1706110410000,570.0
1706110415000,601.0
1706110420000,613.0
1706110425000,633.0
1706110430000,645.0
1706110435000,656.0
1706110440000,680.0
1706110445000,751.0
1706110450000,818.0
1706110455000,858.0
1706110460000,840.0
1706110465000,830.0
1706110470000,837.0
1706110475000,847.0
1706110480000,877.0
1706110485000,876.0
1706110490000,880.0
1706110495000,884.0
1706110500000,865.0
1706110505000,848.0
1706110510000,850.0
1706110515000,823.0
1706110520000,854.0
1706110525000,860.0
1706110530000,868.0
1706110535000,862.0
1706110540000,841.0
1706110545000,840.0
1706110550000,831.0
1706110555000,836.0
1706110560000,851.0
1706110565000,863.0
1706110570000,860.0
1706110575000,854.0
1706110580000,836.0
1706110585000,834.0
1706110590000,828.0
1706110595000,826.0
1706110600000,828.0
1706110605000,824.0
1706110610000,829.0
1706110615000,825.0
1706110620000,813.0
1706110625000,819.0
1706110630000,811.0
1706110635000,809.0
1706110640000,799.0
1706110645000,792.0
1706110650000,797.0
1706110655000,0.0
1706110660000,629.0
1706110665000,
1706110710000,0.0
1706110715000,0.0
1706110720000,0.0
1706110725000,0.0
1706110730000,169.0
1706110735000,361.0
1706110740000,404.0
1706110745000,454.0
1706110750000,491.0
1706110755000,511.0
1706110760000,531.0
1706110765000,557.0
1706110770000,570.0
1706110775000,629.0
1706110780000,683.0
1706110785000,751.0
1706110790000,752.0
1706110795000,732.0
1706110800000,745.0
1706110805000,742.0
1706110810000,742.0
1706110815000,746.0
1706110820000,746.0
1706110825000,727.0
1706110830000,741.0
1706110835000,737.0
1706110840000,740.0
1706110845000,738.0
1706110850000,738.0
1706110855000,712.0
1706110860000,715.0
1706110865000,717.0
1706110870000,729.0
1706110875000,730.0
1706110880000,731.0
1706110885000,741.0
1706110890000,724.0
1706110895000,717.0
1706110900000,713.0
1706110905000,696.0
1706110910000,707.0
1706110915000,715.0
1706110920000,705.0
1706110925000,696.0
1706110930000,683.0
1706110935000,682.0
1706110940000,680.0
1706110945000,681.0
1706110950000,677.0
1706110955000,689.0
1706110960000,686.0
1706110965000,694.0
1706110970000,688.0
1706110975000,695.0
1706110980000,694.0
1706110985000,
1706111030000,0.0
1706111035000,0.0
1706111040000,0.0
1706111045000,0.0
1706111050000,33.0
1706111055000,194.0
1706111060000,357.0
1706111065000,349.0
1706111070000,342.0
1706111075000,319.0
1706111080000,348.0
1706111085000,397.0
1706111090000,395.0
1706111095000,392.0
1706111100000,423.0
1706111105000,439.0
1706111110000,456.0
1706111115000,420.0
1706111120000,351.0
1706111125000,357.0
1706111130000,358.0
1706111135000,371.0
1706111140000,356.0
1706111145000,306.0
1706111150000,292.0
1706111155000,273.0
1706111160000,257.0
1706111165000,269.0
1706111170000,256.0
1706111175000,257.0
1706111180000,263.0
