Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,,,0.0,0.0,-1.0,-1.0,1
5,0.0,,,,,1000.0,,,,,0.0,0.0,22464.0,-1.0,1
10,0.0,,,,,357.0,,,,,0.0,0.0,22464.0,1500.0,1
15,0.0,,,,,175.0,,,,,0.0,0.0,22464.0,92.0,1
20,0.0,,,,,151.0,,,,,0.0,0.0,22464.0,97.0,1
25,0.0,,,,,109.0,,,,,0.0,0.0,22464.0,125.0,1
30,0.0,,,,,86.0,,,,,0.0,0.0,22464.0,75.0,1
35,0.0,,,,,72.0,,,,,0.0,0.0,22464.0,87.0,1
40,0.0,,,,,63.0,,,,,0.0,0.0,22464.0,72.0,1
45,0.0,,,,,57.0,,,,,0.0,0.0,22464.0,104.0,1
50,0.0,,,,,51.0,,,,,0.0,0.0,22464.0,93.0,1
55,0.0,,,,,44.0,,,,,0.0,0.0,22464.0,74.0,1
60,0.0,,,,,40.0,,,,,0.0,0.0,22464.0,75.0,1
65,0.0,,,,,37.0,,,,,0.0,0.0,22464.0,76.0,1
70,672.35,,,,,10.0,,,,,8.0,4.0,745407.0,88.0,1
75,672.35,,,,,63.0,,,,,8.0,4.0,2021200.0,2505.0,1
80,1232.7166666666,,,,,101.0,,,,,10.0,43.0,4405588.0,870.0,1
85,2517.2333333333,,,,,181.0,,,,,74.0,117.0,4824847.0,1262.0,1
90,4097.56666667,,,,,264.0,,,,,155.0,197.0,8494258.0,1131.0,1
95,5702.6,,,,,348.0,,,,,237.0,279.0,8494258.0,2259.0,1
100,7616.4,,,,,430.0,,,,,318.0,354.0,6474817.0,2259.0,1
105,9376.21666666,,,,,513.0,,,,,455.0,483.0,6474817.0,961.0,1
110,10437.36666666,,,,,596.0,,,,,533.0,561.0,12470840.0,961.0,1
115,13071.366666659998,,,,,681.0,,,,,661.0,687.0,12470840.0,1501.0,1
120,13071.366666659998,,,,,764.0,,,,,744.0,768.0,6073475.0,1501.0,1
125,14890.68333333,,,,,847.0,,,,,909.0,921.0,6073475.0,1230.0,1
130,15313.75,,,,,928.0,,,,,992.0,1000.0,10900067.0,1230.0,1
135,16729.6,,,,,959.0,,,,,1000.0,1000.0,13559997.0,1337.0,1
140,16176.58333333,,,,,996.0,,,,,1000.0,1000.0,7479740.0,7051.0,1
145,16611.566666659997,,,,,1000.0,,,,,1000.0,1000.0,12297247.0,1031.0,1
150,16063.33333333,,,,,1000.0,,,,,1000.0,1000.0,12297247.0,2066.0,1
155,15040.383333329999,,,,,1000.0,,,,,1000.0,1000.0,9341078.0,2066.0,1
160,15049.16666666,,,,,1000.0,,,,,1000.0,1000.0,12389725.0,1147.0,1
165,13691.216666659999,,,,,1000.0,,,,,1000.0,1000.0,7439365.0,4299.0,1
170,13701.6,,,,,1000.0,,,,,1000.0,1000.0,7439365.0,2993.0,1
