Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 7)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,1000.0,,,,,,,,0.0,0.0,-1.0,-1.0,1
5,0.0,,,,,,,,176.0,,,,,,,,0.0,0.0,-1.0,-1.0,1
10,0.0,,,,,,,,85.0,,,,,,,,0.0,0.0,22446.0,79.0,1
15,184.8333333333,,,,,,,,138.0,,,,,,,,0.0,0.0,22446.0,89.0,1
20,1081.45,,,,,,,,326.0,,,,,,,,168.0,0.0,492234.0,2048.0,1
25,2157.5333333332997,,,,,,,,418.0,,,,,,,,153.0,122.0,1761398.0,944.0,1
30,4008.58333333,,,,,,,,513.0,,,,,,,,302.0,298.0,5797867.0,1257.0,1
35,5537.53333333,,,,,,,,583.0,,,,,,,,433.0,423.0,4000951.0,843.0,1
40,6772.883333329999,,,,,,,,635.0,,,,,,,,563.0,547.0,6653240.0,1742.0,1
45,8442.61666666,,,,,,,,675.0,,,,,,,,673.0,647.0,8724604.0,3094.0,1
50,10248.633333329999,,,,,,,,708.0,,,,,,,,741.0,715.0,8724604.0,3094.0,1
55,10910.73333333,,,,,,,,735.0,,,,,,,,763.0,738.0,2649080.0,761.0,1
60,12830.766666659998,,,,,,,,757.0,,,,,,,,779.0,752.0,7254836.0,958.0,1
