,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1701950745000,0.0,,,,,,
1701950750000,0.0,,,,,,
1701950755000,0.0,,,,,,
1701950760000,91.2333333333,,,,,,
1701950765000,766.3166666666,,,,,,
1701950770000,1622.5333333332999,,,,,,
1701950775000,2882.1,,,,,,
1701950780000,4043.93333333,,,,,,
1701950785000,5896.05,,,,,,
1701950790000,6804.9,,,,,,
1701950795000,8372.86666666,,,,,,
1701950800000,9958.35,,,,,,
1701950805000,10092.91666666,,,,,,
1701950810000,12059.16666666,,,,,,
1701950815000,12059.16666666,,,,,,
1701950820000,14039.75,,,,,,
1701950825000,13867.216666659999,,,,,,
1701950830000,14885.58333333,,,,,,
1701950835000,14484.41666666,,,,,,
1701950840000,14503.266666659998,,,,,,
1701950845000,14633.55,,,,,,
1701950850000,14255.6,,,,,,
1701950855000,13891.633333329999,,,,,,
1701950860000,13730.45,,,,,,
1701950865000,15260.0,,,,,,
1701950870000,14242.93333333,,,,,,
1701950875000,14954.133333329999,,,,,,
1701950880000,14555.15,,,,,,
1701950885000,15342.3,,,,,,
1701950890000,13909.85,,,,,,
1701950895000,14422.1,,,,,,
1701950900000,14836.83333333,,,,,,
1701950905000,13674.66666666,,,,,,
1701950910000,14066.283333329999,,,,,,
1701950915000,14438.98333333,,,,,,
1701950920000,14531.45,,,,,,
1701950925000,14561.7,,,,,,
1701950930000,13844.95,,,,,,
1701950935000,14767.783333329999,,,,,,
1701950940000,14539.43333333,,,,,,
1701950945000,14956.66666666,,,,,,
1701950950000,14870.966666659999,,,,,,
1701950955000,15102.883333329999,,,,,,
1701950960000,15152.98333333,,,,,,
1701950965000,15892.06666666,,,,,,
1701950970000,15338.05,,,,,,
1701950975000,15475.48333333,,,,,,
1701950980000,15436.93333333,,,,,,
1701950985000,15598.43333333,,,,,,
1701950990000,16345.766666659998,,,,,,
1701950995000,15383.75,,,,,,
1701951000000,15632.8,,,,,,
1701951005000,15779.716666659999,,,,,,
1701951010000,15771.383333329999,,,,,,
1701951015000,15723.866666659998,,,,,,
1701951020000,15610.45,,,,,,
1701951025000,15884.75,,,,,,
1701951030000,15838.16666666,,,,,,
1701951035000,15588.7,,,,,,
1701951040000,17330.6,,,,,,
1701951045000,17101.066666659997,,,,,,
1701951050000,16215.65,,,,,,
1701951055000,17100.3,,,,,,
1701951060000,17042.9,,,,,,
1701951065000,16137.73333333,,,,,,
1701951070000,16538.53333333,,,,,,
1701951075000,16650.41666666,,,,,,
1701951080000,16728.15,,,,,,
1701951085000,14968.383333329999,,,,,,
1701951090000,16505.766666659998,,,,,,
1701951095000,16291.133333329999,,,,,,
1701951100000,13620.9,,,,,,
1701951105000,13531.73333333,,,,,,
1701951110000,15051.383333329999,,,,,,
1701951115000,14312.133333329999,,,,,,
1701951120000,13906.266666659998,,,,,,
1701951125000,14396.033333329999,,,,,,
1701951130000,14913.43333333,,,,,,
1701951135000,13818.0,,,,,,
1701951140000,13676.633333329999,,,,,,
1701951145000,15278.5,,,,,,
1701951150000,13562.383333329999,,,,,,
1701951155000,13882.45,,,,,,
1701951160000,14508.216666659999,,,,,,
1701951165000,13552.533333329999,,,,,,
1701951170000,13845.08333333,,,,,,
1701951175000,14055.266666659998,,,,,,
1701951180000,,,,,,,
1701951230000,0.0,0.0,,,,,
1701951235000,0.0,0.0,,,,,
1701951240000,185.7333333333,239.6833333333,,,,,
1701951245000,684.4666666666,663.7166666666,,,,,
1701951250000,684.4666666666,869.5666666666,,,,,
1701951255000,1568.4166666666,1553.45,,,,,
1701951260000,2030.6166666666,2020.7,,,,,
1701951265000,2540.1666666666,2614.85,,,,,
1701951270000,3741.55,3927.86666667,,,,,
1701951275000,4909.76666667,4851.3,,,,,
1701951280000,5660.06666667,5668.8,,,,,
1701951285000,6542.45,6695.28333333,,,,,
1701951290000,7783.91666666,7929.2,,,,,
1701951295000,9073.1,8967.86666666,,,,,
1701951300000,9761.08333333,9826.65,,,,,
1701951305000,10500.16666666,10613.71666666,,,,,
1701951310000,11597.466666659999,11276.11666666,,,,,
1701951315000,11821.68333333,11898.85,,,,,
1701951320000,12839.533333329999,12659.633333329999,,,,,
1701951325000,13110.31666666,13062.1,,,,,
1701951330000,13060.4,12933.216666659999,,,,,
1701951335000,13285.68333333,13110.23333333,,,,,
1701951340000,13348.466666659999,13338.766666659998,,,,,
1701951345000,13778.883333329999,13616.55,,,,,
1701951350000,13777.266666659998,13410.633333329999,,,,,
1701951355000,13940.75,13919.95,,,,,
1701951360000,13968.18333333,13462.766666659998,,,,,
1701951365000,13927.58333333,13716.716666659999,,,,,
1701951370000,14313.73333333,14073.41666666,,,,,
1701951375000,13915.133333329999,13754.766666659998,,,,,
1701951380000,14004.616666659998,13774.05,,,,,
1701951385000,14108.716666659999,13714.31666666,,,,,
1701951390000,14594.0,14147.966666659999,,,,,
1701951395000,14001.18333333,14075.3,,,,,
1701951400000,15041.31666666,14614.25,,,,,
1701951405000,14940.43333333,14764.85,,,,,
1701951410000,14931.56666666,14690.1,,,,,
1701951415000,14932.216666659999,14812.08333333,,,,,
1701951420000,15267.98333333,15171.98333333,,,,,
1701951425000,15318.4,15195.883333329999,,,,,
1701951430000,15190.466666659999,15043.15,,,,,
1701951435000,15369.95,15234.516666659998,,,,,
1701951440000,15394.73333333,15337.31666666,,,,,
1701951445000,15568.55,15600.25,,,,,
1701951450000,15626.883333329999,15457.66666666,,,,,
1701951455000,15662.55,15272.216666659999,,,,,
1701951460000,15665.633333329999,15469.18333333,,,,,
1701951465000,15343.43333333,15039.16666666,,,,,
1701951470000,15639.31666666,15523.66666666,,,,,
1701951475000,15330.883333329999,15152.33333333,,,,,
1701951480000,15530.5,15351.75,,,,,
1701951485000,15527.466666659999,15071.533333329999,,,,,
1701951490000,14921.633333329999,14975.23333333,,,,,
1701951495000,15016.75,14520.266666659998,,,,,
1701951500000,15268.48333333,15041.466666659999,,,,,
1701951505000,15148.283333329999,14725.83333333,,,,,
1701951510000,14565.116666659998,14589.91666666,,,,,
1701951515000,15093.25,14865.616666659998,,,,,
1701951520000,14333.033333329999,14282.8,,,,,
1701951525000,14905.05,14576.05,,,,,
1701951530000,14529.116666659998,14518.55,,,,,
1701951535000,14992.48333333,14559.766666659998,,,,,
1701951540000,14518.18333333,14422.883333329999,,,,,
1701951545000,14791.05,14594.4,,,,,
1701951550000,15246.58333333,14822.466666659999,,,,,
1701951555000,15560.56666666,15374.73333333,,,,,
1701951560000,14756.18333333,14764.9,,,,,
1701951565000,15282.31666666,15097.93333333,,,,,
1701951570000,15032.266666659998,14715.31666666,,,,,
1701951575000,15118.95,15129.93333333,,,,,
1701951580000,15382.45,15074.15,,,,,
1701951585000,15344.4,15280.133333329999,,,,,
1701951590000,15256.9,14812.16666666,,,,,
1701951595000,15351.533333329999,15412.3,,,,,
1701951600000,15369.75,15133.05,,,,,
1701951605000,15286.48333333,15211.883333329999,,,,,
1701951610000,15198.98333333,15011.75,,,,,
1701951615000,15537.7,15436.85,,,,,
1701951620000,15464.116666659998,15020.08333333,,,,,
1701951625000,15054.33333333,15100.966666659999,,,,,
1701951630000,15550.65,15292.85,,,,,
1701951635000,15598.66666666,15376.716666659999,,,,,
1701951640000,15316.2,15076.05,,,,,
1701951645000,15345.05,15165.06666666,,,,,
1701951650000,15400.266666659998,15206.366666659998,,,,,
1701951655000,15123.91666666,14897.73333333,,,,,
