,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1707950365000,0.0,,,,,,,
1707950370000,0.0,,,,,,,
1707950375000,0.0,,,,,,,
1707950380000,0.0,,,,,,,
1707950385000,0.0,,,,,,,
1707950390000,0.0,,,,,,,
1707950395000,1278.6,,,,,,,
1707950400000,2372.7666666666,,,,,,,
1707950405000,7006.83333333,,,,,,,
1707950410000,9648.75,,,,,,,
1707950415000,16947.483333329998,,,,,,,
1707950420000,18816.46666666,,,,,,,
1707950425000,24427.21666666,,,,,,,
1707950430000,25773.5,,,,,,,
1707950435000,28325.21666666,,,,,,,
1707950440000,32063.833333330003,,,,,,,
1707950445000,33775.03333333,,,,,,,
1707950450000,39408.15,,,,,,,
1707950455000,38219.8,,,,,,,
1707950460000,40299.1,,,,,,,
1707950465000,38906.85,,,,,,,
1707950470000,36264.93333333,,,,,,,
1707950475000,29377.71666666,,,,,,,
1707950480000,27675.71666666,,,,,,,
1707950485000,22064.96666666,,,,,,,
1707950490000,21050.85,,,,,,,
1707950495000,19676.016666659998,,,,,,,
1707950500000,21650.316666659997,,,,,,,
1707950505000,20518.75,,,,,,,
1707950510000,18995.08333333,,,,,,,
1707950515000,18995.08333333,,,,,,,
1707950520000,21403.066666659997,,,,,,,
1707950525000,21403.066666659997,,,,,,,
1707950530000,22096.65,,,,,,,
1707950535000,23385.86666666,,,,,,,
1707950540000,22974.35,,,,,,,
1707950545000,24171.333333330003,,,,,,,
1707950550000,24171.333333330003,,,,,,,
1707950555000,26585.61666666,,,,,,,
1707950560000,30503.78333333,,,,,,,
1707950565000,26785.66666666,,,,,,,
1707950570000,32713.833333330003,,,,,,,
1707950575000,28905.066666659997,,,,,,,
