,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,0
Timestamp,
1707939615000,0.0
1707939620000,0.0
1707939625000,0.0
1707939630000,0.0
1707939635000,0.0
1707939640000,0.0
1707939645000,53.0
1707939650000,119.0
1707939655000,171.0
1707939660000,214.0
1707939665000,251.0
1707939670000,280.0
1707939675000,310.0
1707939680000,366.0
1707939685000,419.0
1707939690000,479.0
1707939695000,537.0
1707939700000,594.0
1707939705000,625.0
1707939710000,636.0
1707939715000,648.0
1707939720000,652.0
1707939725000,662.0
1707939730000,674.0
1707939735000,678.0
1707939740000,664.0
1707939745000,673.0
1707939750000,668.0
1707939755000,669.0
1707939760000,669.0
1707939765000,668.0
1707939770000,669.0
1707939775000,667.0
1707939780000,677.0
1707939785000,676.0
1707939790000,677.0
1707939795000,679.0
1707939800000,697.0
1707939805000,693.0
1707939810000,689.0
1707939815000,688.0
1707939820000,691.0
1707939825000,694.0
1707939830000,696.0
1707939835000,701.0
1707939840000,695.0
1707939845000,698.0
1707939850000,698.0
1707939855000,695.0
1707939860000,690.0
1707939865000,688.0
1707939870000,695.0
1707939875000,693.0
1707939880000,692.0
1707939885000,693.0
1707939890000,695.0
1707939895000,694.0
1707939900000,696.0
1707939905000,694.0
1707939910000,693.0
1707939915000,697.0
1707939920000,700.0
1707939925000,704.0
1707939930000,699.0
1707939935000,703.0
1707939940000,700.0
1707939945000,699.0
1707939950000,697.0
1707939955000,698.0
1707939960000,700.0
1707939965000,702.0
1707939970000,701.0
1707939975000,699.0
1707939980000,692.0
1707939985000,677.0
1707939990000,685.0
1707939995000,
1707940040000,0.0
1707940045000,60.0
1707940050000,92.0
1707940055000,211.0
1707940060000,240.0
1707940065000,257.0
1707940070000,278.0
1707940075000,285.0
1707940080000,295.0
1707940085000,298.0
1707940090000,298.0
1707940095000,299.0
1707940100000,296.0
1707940105000,313.0
1707940110000,325.0
1707940115000,313.0
1707940120000,311.0
1707940125000,307.0
1707940130000,301.0
1707940135000,299.0
1707940140000,290.0
1707940145000,287.0
1707940150000,283.0
1707940155000,274.0
1707940160000,273.0
1707940165000,275.0
1707940170000,280.0
1707940175000,276.0
1707940180000,279.0
1707940185000,279.0
1707940190000,277.0
1707940195000,280.0
1707940200000,285.0
1707940205000,289.0
1707940210000,295.0
1707940215000,304.0
1707940220000,313.0
1707940225000,315.0
1707940230000,311.0
1707940235000,309.0
1707940240000,304.0
1707940245000,307.0
1707940250000,309.0
1707940255000,305.0
1707940260000,304.0
1707940265000,302.0
1707940270000,301.0
1707940275000,298.0
1707940280000,291.0
1707940285000,288.0
1707940290000,287.0
1707940295000,294.0
1707940300000,292.0
1707940305000,288.0
1707940310000,283.0
1707940315000,285.0
1707940320000,284.0
1707940325000,282.0
1707940330000,280.0
1707940335000,284.0
1707940340000,288.0
1707940345000,293.0
1707940350000,295.0
1707940355000,297.0
1707940360000,306.0
1707940365000,312.0
1707940370000,318.0
1707940375000,312.0
1707940380000,312.0
1707940385000,316.0
1707940390000,321.0
1707940395000,319.0
1707940400000,317.0
1707940405000,313.0
1707940410000,308.0
1707940415000,300.0
1707940420000,293.0
1707940425000,294.0
1707940430000,292.0
