,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1708036715000,0.0
1708036720000,
1708036725000,0.0
1708036730000,0.0
1708036735000,0.0
1708036740000,0.0
1708036745000,0.0
1708036750000,0.0
1708036755000,149.0
1708036760000,395.0
1708036765000,497.0
1708036770000,581.0
1708036775000,631.0
1708036780000,657.0
1708036785000,681.0
1708036790000,799.0
1708036795000,874.0
1708036800000,954.0
1708036805000,1000.0
1708036810000,1000.0
1708036815000,1000.0
1708036820000,1000.0
1708036825000,1000.0
1708036830000,1000.0
1708036835000,1000.0
1708036840000,1000.0
1708036845000,1000.0
1708036850000,1000.0
1708036855000,1000.0
1708036860000,1000.0
1708036865000,1000.0
1708036870000,1000.0
1708036875000,1000.0
1708036880000,1000.0
1708036885000,1000.0
1708036890000,1000.0
1708036895000,1000.0
1708036900000,1000.0
1708036905000,1000.0
1708036910000,1000.0
1708036915000,1000.0
1708036920000,1000.0
1708036925000,1000.0
1708036930000,1000.0
1708036935000,1000.0
1708036940000,1000.0
1708036945000,1000.0
1708036950000,958.0
1708036955000,1000.0
1708036960000,1000.0
1708036965000,1000.0
1708036970000,1000.0
1708036975000,1000.0
1708036980000,1000.0
1708036985000,1000.0
1708036990000,1000.0
1708036995000,1000.0
1708037000000,1000.0
1708037005000,1000.0
1708037010000,1000.0
1708037015000,1000.0
1708037020000,1000.0
1708037025000,1000.0
1708037030000,1000.0
1708037035000,1000.0
1708037040000,1000.0
1708037045000,1000.0
1708037050000,1000.0
1708037055000,1000.0
1708037060000,1000.0
1708037065000,1000.0
1708037070000,1000.0
1708037075000,1000.0
1708037080000,1000.0
1708037085000,1000.0
1708037090000,1000.0
1708037095000,1000.0
1708037100000,1000.0
1708037105000,
1708037155000,0.0
1708037160000,0.0
1708037165000,416.0
1708037170000,575.0
1708037175000,526.0
1708037180000,596.0
1708037185000,611.0
1708037190000,633.0
1708037195000,674.0
1708037200000,674.0
1708037205000,696.0
1708037210000,706.0
1708037215000,706.0
1708037220000,775.0
1708037225000,797.0
1708037230000,790.0
1708037235000,842.0
1708037240000,940.0
1708037245000,1000.0
1708037250000,1000.0
1708037255000,1000.0
1708037260000,1000.0
1708037265000,1000.0
1708037270000,1000.0
1708037275000,1000.0
1708037280000,1000.0
1708037285000,1000.0
1708037290000,1000.0
1708037295000,1000.0
1708037300000,1000.0
1708037305000,987.0
1708037310000,989.0
1708037315000,1000.0
1708037320000,1000.0
1708037325000,1000.0
1708037330000,1000.0
1708037335000,1000.0
1708037340000,1000.0
1708037345000,967.0
1708037350000,956.0
1708037355000,1000.0
1708037360000,1000.0
1708037365000,971.0
1708037370000,979.0
1708037375000,1000.0
1708037380000,1000.0
1708037385000,1000.0
1708037390000,1000.0
1708037395000,1000.0
1708037400000,1000.0
1708037405000,1000.0
1708037410000,1000.0
1708037415000,1000.0
1708037420000,1000.0
1708037425000,1000.0
1708037430000,1000.0
1708037435000,1000.0
1708037440000,1000.0
1708037445000,1000.0
1708037450000,1000.0
1708037455000,1000.0
1708037460000,1000.0
1708037465000,1000.0
1708037470000,1000.0
1708037475000,1000.0
1708037480000,1000.0
1708037485000,992.0
1708037490000,992.0
1708037495000,992.0
1708037500000,987.0
1708037505000,983.0
1708037510000,989.0
1708037515000,1000.0
1708037520000,1000.0
1708037525000,1000.0
1708037530000,1000.0
1708037535000,1000.0
1708037540000,1000.0
1708037545000,1000.0
1708037550000,1000.0
1708037555000,
1708037605000,0.0
1708037610000,0.0
1708037615000,84.0
1708037620000,192.0
1708037625000,221.0
1708037630000,214.0
1708037635000,236.0
1708037640000,240.0
1708037645000,225.0
1708037650000,306.0
1708037655000,327.0
1708037660000,399.0
1708037665000,460.0
1708037670000,490.0
1708037675000,543.0
1708037680000,555.0
1708037685000,567.0
1708037690000,571.0
1708037695000,576.0
1708037700000,592.0
1708037705000,643.0
1708037710000,641.0
1708037715000,666.0
1708037720000,681.0
1708037725000,689.0
1708037730000,693.0
1708037735000,698.0
1708037740000,696.0
1708037745000,688.0
1708037750000,716.0
1708037755000,743.0
1708037760000,819.0
1708037765000,855.0
1708037770000,866.0
1708037775000,874.0
1708037780000,831.0
1708037785000,806.0
1708037790000,808.0
1708037795000,805.0
1708037800000,805.0
1708037805000,815.0
1708037810000,830.0
1708037815000,860.0
1708037820000,820.0
1708037825000,792.0
1708037830000,776.0
1708037835000,762.0
1708037840000,808.0
1708037845000,823.0
1708037850000,783.0
1708037855000,798.0
1708037860000,799.0
1708037865000,789.0
1708037870000,775.0
1708037875000,785.0
1708037880000,802.0
1708037885000,806.0
1708037890000,809.0
1708037895000,817.0
1708037900000,776.0
1708037905000,746.0
1708037910000,815.0
1708037915000,798.0
1708037920000,799.0
1708037925000,805.0
1708037930000,796.0
1708037935000,759.0
1708037940000,739.0
1708037945000,732.0
1708037950000,719.0
1708037955000,708.0
1708037960000,727.0
1708037965000,761.0
1708037970000,700.0
1708037975000,709.0
1708037980000,714.0
1708037985000,696.0
1708037990000,718.0
1708037995000,720.0
1708038000000,717.0
1708038005000,
1708038055000,0.0
1708038060000,0.0
1708038065000,59.0
1708038070000,458.0
1708038075000,330.0
1708038080000,359.0
1708038085000,403.0
1708038090000,458.0
1708038095000,487.0
1708038100000,480.0
1708038105000,498.0
1708038110000,531.0
1708038115000,579.0
1708038120000,614.0
1708038125000,659.0
