,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1708177115000,0.0,,,,,,
1708177120000,0.0,,,,,,
1708177125000,275.85,,,,,,
1708177130000,1153.5,,,,,,
1708177135000,1279.5666666666,,,,,,
1708177140000,1279.5666666666,,,,,,
1708177145000,1279.5666666666,,,,,,
1708177150000,1279.5666666666,,,,,,
1708177155000,4000.1,,,,,,
1708177160000,9661.16666666,,,,,,
1708177165000,12178.08333333,,,,,,
1708177170000,15354.033333329999,,,,,,
1708177175000,22638.58333333,,,,,,
1708177180000,25654.933333330002,,,,,,
1708177185000,32390.583333330003,,,,,,
1708177190000,36262.6,,,,,,
1708177195000,41038.41666666,,,,,,
1708177200000,42614.216666659995,,,,,,
1708177205000,44226.33333333,,,,,,
1708177210000,48424.85,,,,,,
1708177215000,52381.18333333,,,,,,
1708177220000,52584.43333333,,,,,,
1708177225000,54765.4,,,,,,
1708177230000,54691.43333333,,,,,,
1708177235000,51968.4,,,,,,
1708177240000,53149.65,,,,,,
1708177245000,49683.45,,,,,,
1708177250000,51866.43333333,,,,,,
1708177255000,52347.46666666,,,,,,
1708177260000,51733.06666666,,,,,,
1708177265000,55206.0,,,,,,
1708177270000,54724.233333330005,,,,,,
1708177275000,54269.266666660005,,,,,,
1708177280000,52756.18333333,,,,,,
1708177285000,54453.983333330005,,,,,,
1708177290000,56915.2,,,,,,
1708177295000,54436.88333333,,,,,,
1708177300000,50784.58333333,,,,,,
1708177305000,52477.366666660004,,,,,,
1708177310000,49716.85,,,,,,
1708177315000,48781.1,,,,,,
1708177320000,55527.28333333,,,,,,
1708177325000,53560.55,,,,,,
1708177330000,51433.06666666,,,,,,
1708177335000,48029.33333333,,,,,,
1708177340000,49910.28333333,,,,,,
1708177345000,48846.13333333,,,,,,
1708177350000,47741.33333333,,,,,,
1708177355000,49028.88333333,,,,,,
1708177360000,52295.9,,,,,,
1708177365000,52319.88333333,,,,,,
1708177370000,51975.63333333,,,,,,
1708177375000,54118.483333330005,,,,,,
1708177380000,51159.7,,,,,,
1708177385000,52387.233333330005,,,,,,
1708177390000,54118.13333333,,,,,,
1708177395000,52195.233333330005,,,,,,
1708177400000,49315.28333333,,,,,,
1708177405000,50083.56666666,,,,,,
1708177410000,52854.95,,,,,,
1708177415000,55480.45,,,,,,
1708177420000,54230.08333333,,,,,,
1708177425000,49157.93333333,,,,,,
1708177430000,48102.31666666,,,,,,
1708177435000,49190.71666666,,,,,,
1708177440000,49380.616666660004,,,,,,
1708177445000,52410.68333333,,,,,,
1708177450000,51601.266666660005,,,,,,
1708177455000,52929.7,,,,,,
1708177460000,54142.25,,,,,,
1708177465000,55419.85,,,,,,
1708177470000,52859.25,,,,,,
1708177475000,54474.28333333,,,,,,
1708177480000,55677.5,,,,,,
1708177485000,56939.2,,,,,,
1708177490000,,,,,,,
1708177535000,0.0,,,,,,
1708177540000,0.0,0.0,,,,,
1708177545000,12.1,0.0,,,,,
1708177550000,305.9333333333,7.083333333333,,,,,
1708177555000,2327.7333333333,431.7666666666,,,,,
1708177560000,5621.58333333,2493.65,,,,,
1708177565000,10537.46666666,5682.33333333,,,,,
1708177570000,15142.28333333,10628.68333333,,,,,
1708177575000,16766.1,15166.05,,,,,
1708177580000,21744.86666666,16730.45,,,,,
1708177585000,24681.38333333,21738.48333333,,,,,
1708177590000,27363.81666666,24638.78333333,,,,,
1708177595000,29888.71666666,27467.36666666,,,,,
1708177600000,34084.58333333,29989.31666666,,,,,
1708177605000,38558.68333333,34180.28333333,,,,,
1708177610000,39967.96666666,38523.76666666,,,,,
1708177615000,41986.65,39825.03333333,,,,,
1708177620000,43123.16666666,41865.45,,,,,
1708177625000,42893.75,43109.31666666,,,,,
1708177630000,43357.85,42778.81666666,,,,,
1708177635000,46884.51666666,43166.61666666,,,,,
1708177640000,43473.36666666,46887.36666666,,,,,
1708177645000,42326.86666666,43327.13333333,,,,,
1708177650000,43568.75,42247.73333333,,,,,
1708177655000,45357.9,43405.18333333,,,,,
1708177660000,46263.81666666,45271.45,,,,,
1708177665000,45832.21666666,46139.3,,,,,
1708177670000,45405.73333333,45832.71666666,,,,,
1708177675000,45808.43333333,45512.25,,,,,
1708177680000,45507.33333333,45635.48333333,,,,,
1708177685000,45388.16666666,45372.18333333,,,,,
1708177690000,45017.8,45340.86666666,,,,,
1708177695000,44889.6,45095.56666666,,,,,
1708177700000,48361.31666666,44822.48333333,,,,,
1708177705000,47888.61666666,48237.41666666,,,,,
1708177710000,45326.11666666,47802.33333333,,,,,
1708177715000,46786.61666666,45204.5,,,,,
1708177720000,46400.61666666,46673.4,,,,,
1708177725000,46683.51666666,46337.28333333,,,,,
1708177730000,51352.33333333,46588.03333333,,,,,
1708177735000,47922.2,51023.95,,,,,
1708177740000,47641.28333333,47762.41666666,,,,,
1708177745000,48048.76666666,47562.0,,,,,
1708177750000,48659.93333333,48006.68333333,,,,,
1708177755000,48298.63333333,48649.05,,,,,
1708177760000,49023.21666666,48113.98333333,,,,,
1708177765000,49354.6,49075.56666666,,,,,
1708177770000,49032.53333333,49276.48333333,,,,,
1708177775000,47545.58333333,48956.23333333,,,,,
1708177780000,47694.96666666,47545.56666666,,,,,
1708177785000,48289.56666666,47670.21666666,,,,,
1708177790000,48343.2,48152.68333333,,,,,
1708177795000,48351.233333330005,48406.53333333,,,,,
1708177800000,49417.2,48406.6,,,,,
1708177805000,49025.93333333,49431.96666666,,,,,
1708177810000,48523.7,48836.13333333,,,,,
1708177815000,48311.28333333,48435.66666666001,,,,,
1708177820000,47423.483333330005,48491.81666666,,,,,
1708177825000,50724.78333333,47478.9,,,,,
1708177830000,50972.65,50826.616666660004,,,,,
1708177835000,48349.46666666,50913.516666660005,,,,,
1708177840000,49598.75,48048.18333333,,,,,
1708177845000,48674.66666666001,49401.91666666001,,,,,
1708177850000,47125.8,48615.33333333,,,,,
1708177855000,52230.2,46868.733333330005,,,,,
1708177860000,48183.85,52217.21666666,,,,,
1708177865000,46423.8,47998.16666666001,,,,,
1708177870000,46375.483333330005,46448.366666660004,,,,,
1708177875000,47391.46666666,46323.96666666,,,,,
1708177880000,47987.366666660004,47080.016666660005,,,,,
1708177885000,47597.31666666,47891.05,,,,,
1708177890000,47635.96666666,47389.16666666001,,,,,
1708177895000,47470.83333333,47588.71666666,,,,,
1708177900000,47473.15,47445.06666666,,,,,
1708177905000,47655.21666666,47499.43333333,,,,,
1708177910000,46987.75,47665.7,,,,,
1708177915000,47191.2,47096.3,,,,,
1708177920000,50472.41666666001,47029.41666666001,,,,,
1708177925000,48978.866666660004,50318.46666666,,,,,
1708177930000,48085.8,48758.96666666,,,,,
1708177935000,0.0,,,,,,
1708177940000,3021.7666666666,0.0,,,,,
1708177945000,,3208.5166666666,,,,,
1708177950000,0.0,,,,,,
1708177955000,5086.45,0.0,,,,,
1708177960000,0.0,,,,,,
1708177965000,4762.46666667,0.0,,,,,
1708177970000,,4928.2,,,,,
1708177975000,,,,,,,
1708178020000,,,0.0,,,,
1708178025000,0.0,0.0,0.0,,,,
1708178030000,0.0,3.5,3.316666666666,,,,
1708178035000,3.75,323.4,345.1666666666,,,,
1708178040000,388.4,1752.4333333332997,1682.9,,,,
1708178045000,1498.55,5221.4,5208.75,,,,
1708178050000,5413.06666667,7949.15,7869.8,,,,
1708178055000,8159.3,10740.48333333,10492.86666666,,,,
1708178060000,10855.5,14996.05,14422.83333333,,,,
